 YR   MON  TOTAL ClimAdjust  ANOM 
1993   1   26.70   26.59     0.10
1993   2   27.17   26.79     0.38
1993   3   27.68   27.28     0.40
1993   4   28.41   27.70     0.71
1993   5   28.71   27.80     0.91
1993   6   28.08   27.60     0.48
1993   7   27.52   27.19     0.33
1993   8   26.99   26.84     0.15
1993   9   27.07   26.78     0.29
1993  10   26.78   26.76     0.02
1993  11   26.71   26.70     0.01
1993  12   26.76   26.66     0.10
1994   1   26.65   26.59     0.06
1994   2   26.82   26.79     0.03
1994   3   27.39   27.28     0.11
1994   4   28.08   27.70     0.38
1994   5   28.24   27.80     0.43
1994   6   28.04   27.60     0.44
1994   7   27.54   27.19     0.35
1994   8   27.38   26.84     0.54
1994   9   27.19   26.78     0.41
1994  10   27.47   26.76     0.71
1994  11   27.81   26.70     1.11
1994  12   27.85   26.66     1.19
1995   1   27.57   26.59     0.98
1995   2   27.49   26.79     0.71
1995   3   27.76   27.28     0.48
1995   4   28.11   27.70     0.41
1995   5   27.83   27.80     0.02
1995   6   27.59   27.60    -0.01
1995   7   27.08   27.19    -0.11
1995   8   26.23   26.84    -0.61
1995   9   25.88   26.78    -0.90
1995  10   25.84   26.76    -0.92
1995  11   25.61   26.70    -1.10
1995  12   25.66   26.66    -1.00
1996   1   25.70   26.56    -0.86
1996   2   25.91   26.75    -0.85
1996   3   26.69   27.24    -0.56
1996   4   27.36   27.72    -0.36
1996   5   27.55   27.81    -0.26
1996   6   27.29   27.59    -0.30
1996   7   26.85   27.18    -0.32
1996   8   26.64   26.83    -0.20
1996   9   26.27   26.73    -0.45
1996  10   26.27   26.67    -0.40
1996  11   26.29   26.63    -0.34
1996  12   25.96   26.56    -0.61
1997   1   26.02   26.56    -0.54
1997   2   26.39   26.75    -0.36
1997   3   27.05   27.24    -0.20
1997   4   27.99   27.72     0.27
1997   5   28.58   27.81     0.76
1997   6   28.81   27.59     1.22
1997   7   28.85   27.18     1.67
1997   8   28.74   26.83     1.91
1997   9   28.84   26.73     2.12
1997  10   29.07   26.67     2.40
1997  11   29.11   26.63     2.48
1997  12   28.89   26.56     2.32
1998   1   28.93   26.56     2.37
1998   2   28.79   26.75     2.03
1998   3   28.63   27.24     1.38
1998   4   28.61   27.72     0.90
1998   5   28.52   27.81     0.70
1998   6   27.35   27.59    -0.24
1998   7   26.32   27.18    -0.86
1998   8   25.59   26.83    -1.25
1998   9   25.47   26.73    -1.26
1998  10   25.26   26.67    -1.41
1998  11   25.25   26.63    -1.38
1998  12   24.92   26.56    -1.64
1999   1   24.87   26.56    -1.69
1999   2   25.44   26.75    -1.31
1999   3   26.34   27.24    -0.90
1999   4   26.71   27.72    -1.00
1999   5   26.79   27.81    -1.02
1999   6   26.54   27.59    -1.05
1999   7   26.13   27.18    -1.05
1999   8   25.64   26.83    -1.19
1999   9   25.63   26.73    -1.09
1999  10   25.48   26.67    -1.19
1999  11   25.13   26.63    -1.50
1999  12   24.87   26.56    -1.70
2000   1   24.79   26.56    -1.77
2000   2   25.23   26.75    -1.53
2000   3   26.31   27.24    -0.93
2000   4   26.96   27.72    -0.75
2000   5   27.08   27.81    -0.74
2000   6   26.95   27.59    -0.64
2000   7   26.63   27.18    -0.55
2000   8   26.37   26.83    -0.47
2000   9   26.20   26.73    -0.52
2000  10   26.02   26.67    -0.65
2000  11   25.92   26.63    -0.71
2000  12   25.69   26.56    -0.88
2001   1   25.82   26.45    -0.63
2001   2   26.14   26.66    -0.53
2001   3   26.82   27.21    -0.39
2001   4   27.34   27.73    -0.39
2001   5   27.60   27.85    -0.24
2001   6   27.54   27.65    -0.11
2001   7   27.25   27.26    -0.01
2001   8   26.80   26.91    -0.10
2001   9   26.52   26.80    -0.28
2001  10   26.57   26.75    -0.18
2001  11   26.34   26.75    -0.41
2001  12   26.20   26.65    -0.46
2002   1   26.40   26.45    -0.05
2002   2   26.72   26.66     0.06
2002   3   27.30   27.21     0.09
2002   4   27.85   27.73     0.12
2002   5   28.24   27.85     0.40
2002   6   28.44   27.65     0.79
2002   7   28.03   27.26     0.77
2002   8   27.72   26.91     0.81
2002   9   27.81   26.80     1.01
2002  10   27.96   26.75     1.20
2002  11   28.16   26.75     1.41
2002  12   27.97   26.65     1.31
2003   1   27.16   26.45     0.70
2003   2   27.40   26.66     0.74
2003   3   27.66   27.21     0.45
2003   4   27.69   27.73    -0.05
2003   5   27.32   27.85    -0.52
2003   6   27.44   27.65    -0.21
2003   7   27.50   27.26     0.24
2003   8   27.11   26.91     0.20
2003   9   26.98   26.80     0.19
2003  10   27.14   26.75     0.38
2003  11   27.04   26.75     0.29
2003  12   27.04   26.65     0.38
2004   1   26.83   26.45     0.38
2004   2   27.00   26.66     0.34
2004   3   27.41   27.21     0.21
2004   4   27.89   27.73     0.16
2004   5   27.99   27.85     0.14
2004   6   27.85   27.65     0.20
2004   7   27.77   27.26     0.51
2004   8   27.60   26.91     0.70
2004   9   27.52   26.80     0.72
2004  10   27.44   26.75     0.68
2004  11   27.36   26.75     0.61
2004  12   27.34   26.65     0.69
2005   1   27.21   26.45     0.76
2005   2   27.12   26.66     0.46
2005   3   27.74   27.21     0.53
2005   4   28.09   27.73     0.35
2005   5   28.24   27.85     0.39
2005   6   27.77   27.65     0.12
2005   7   27.07   27.26    -0.19
2005   8   26.80   26.91    -0.10
2005   9   26.68   26.80    -0.11
2005  10   26.65   26.75    -0.10
2005  11   26.11   26.75    -0.64
2005  12   25.68   26.65    -0.97
